"Mass Product Relater","Vinculador de Producto Masivo"
"Product Relator","Vinculador de productos"
"Other","Otros"
"Cross-Sell IDs","ID de venta cruzada"
"Related IDs","ID vinculados"
"Up-Sell IDs","ID de venta directa"
"Cross-Sell: Add ..","Venta cruzada: Agregar .."
"Cross-Sell: Clear","Venta cruzada: Despejar"
"Cross-Sell: To Each Other","Venta cruzada: Con los demás"
"Related: Add ..","Vinculado: Agregar .."
"Related: Clear","Vinculado: Despejar"
"Related: To Each Other","Vinculado: Con los demás"
"Up-Sells: Add ..","Venta directa: Agregar .."
"Up-Sells: Clear","Venta directa: Despejar"
"Please select product(s)","Por favor seleccione productos"
"Total of %d record(s) are no longer related to any other products.","El total de %d registros ya no está vinculado con ningún otro producto."
"Total of %d record(s) are now up-sold by products(%s).","El total de %d registros está vinculado con los productos(%s) de venta directa."
"Total of %d record(s) now have 0 up-sells","El total de %d registros ya no tiene productos de venta directa."
"Total of %d record(s) now have no products as cross sell links.","El total de %d registros ya no está vinculado con productos de venta cruzada."
"Total of %d record(s) were successfully cross-related to each other.","El total de %d registros está vinculado de forma cruzada entre si."
"Total of %d record(s) were successfully refreshed.","El total de %d registros se han actualizado."
"Total of %d record(s) were successfully related to each other.","El total de %d registros está vinculado entre sí."
"Total of %d record(s) were successfully related to products(%s).","El total de %d registros está vinculado con los productos(%s)."
"Total of %d record(s) were successfully set as cross-sells by products(%s).","El total de %d registros está vinculado con los productos(%s) de venta cruzada."
"You should select checkboxes for each product row which should be updated. You can click on checkboxes or use CTRL+Click on product row which should be selected.","Debe seleccionar casillas de verificación para cada fila de producto que se debe actualizar. Puede hacer clic en casillas de verificación o usar CTRL+clic en la fila del producto que debe seleccionarse."
