"Mass Product Relater","Massenprodukt-Verknüpfer"
"Product Relator","Produkt-Verknüpfer"
"Other","Andere"
"Cross-Sell IDs","Cross-Sell IDs"
"Related IDs","Verknüpfte IDs"
"Up-Sell IDs","Up-Sell IDs"
"Cross-Sell: Add ..","Querverkauf: Hinzufügen .."
"Cross-Sell: Clear","Querverkauf: Löschen"
"Cross-Sell: To Each Other","Querverkauf: Mit jedem anderen"
"Related: Add ..","Verknüpft: Hinzufügen .."
"Related: Clear","Verknüpft: Löschen"
"Related: To Each Other","Verknüpft: Mit jedem anderen"
"Up-Sells: Add ..","Up-Sells: Hinzufügen .."
"Up-Sells: Clear","Up-Sells: Löschen"
"Please select product(s)","Bitte wählen Sie Produkte"
"Total of %d record(s) are no longer related to any other products.","Insgesamt %d Datensätze sind nicht mehr mit anderen Produkten verknüpft."
"Total of %d record(s) are now up-sold by products(%s).","Insgesamt %d Datensätze sind jetzt mit den Zusatzverkauf-Produkten(%s) verknüpft."
"Total of %d record(s) now have 0 up-sells","Insgesamt %d Datensätze haben nun keine Zusatzverkauf-Produkte."
"Total of %d record(s) now have no products as cross sell links.","Insgesamt %d Datensätze haben nun keine Querverkauf-Links."
"Total of %d record(s) were successfully cross-related to each other.","Insgesamt %d Datensätze wurden miteinander querverknüpft."
"Total of %d record(s) were successfully refreshed.","Insgesamt %d Datensätze wurden aktualisiert."
"Total of %d record(s) were successfully related to each other.","Insgesamt %d Datensätze wurden miteinander verknüpft."
"Total of %d record(s) were successfully related to products(%s).","Insgesamt %d Datensätze wurden mit den Produkten(%s) verknüpft."
"Total of %d record(s) were successfully set as cross-sells by products(%s).","Insgesamt %d Datensätze sind jetzt mit den Querverkauf-Produkten(%s) verknüpft."
"You should select checkboxes for each product row which should be updated. You can click on checkboxes or use CTRL+Click on product row which should be selected.","Sie sollten für jede Produktreihe, die aktualisiert werden soll, Kontrollkästchen markieren. Sie können auf Kontrollkästchen klicken oder verwenden Sie STRG+Klick auf der Produktreihe, die ausgewählt werden soll."
